"","x","m","loc","dens"
"360","A","i",37.503762591988,-0.022991767508284
"361","A","i",37.6342337281424,-0.023001545460685
"362","A","i",37.7647048642969,-0.0230088611225889
"363","A","i",37.8951760004514,-0.0230121455861079
"364","A","i",38.0256471366059,-0.0230113480988977
"365","A","i",38.1561182727603,-0.0230075743646261
"366","A","i",38.2865894089148,-0.0229990620433825
"367","A","i",38.4170605450693,-0.0229856494971939
"368","A","i",38.5475316812238,-0.0229687430326003
"369","A","i",38.6780028173782,-0.0229464167672166
"370","A","i",38.8084739535327,-0.0229183545723362
"371","A","i",38.9389450896872,-0.0228862907078472
"372","A","i",39.0694162258416,-0.0228481720545179
"373","A","i",39.1998873619961,-0.0228034866385126
"374","A","i",39.3303584981506,-0.0227543171398468
"375","A","i",39.4608296343051,-0.0226985249686169
"376","A","i",39.5913007704595,-0.0226353658397615
"377","A","i",39.721771906614,-0.0225672821446868
"378","A","i",39.8522430427685,-0.0224920956475406
"379","A","i",39.982714178923,-0.0224088010159546
"380","A","i",40.1131853150774,-0.0223202003073765
"381","A","i",40.2436564512319,-0.0222241237455054
"382","A","i",40.3741275873864,-0.0221192867977085
"383","A","i",40.5045987235408,-0.0220088379287117
"384","A","i",40.6350698596953,-0.0218906641531489
"385","A","i",40.7655409958498,-0.0217631968199135
"386","A","i",40.8960121320043,-0.0216299028892353
"387","A","i",41.0264832681587,-0.0214887725133544
"388","A","i",41.1569544043132,-0.0213379634705554
"389","A","i",41.2874255404677,-0.0211812177910963
"390","A","i",41.4178966766222,-0.0210166708975353
"391","A","i",41.5483678127766,-0.0208422346136774
"392","A","i",41.6788389489311,-0.0206618669383164
"393","A","i",41.8093100850856,-0.0204738843791292
"394","A","i",41.9397812212401,-0.020275998280632
"395","A","i",42.0702523573945,-0.0200723084552481
"396","A","i",42.200723493549,-0.0198613401550358
"397","A","i",42.3311946297035,-0.0196406674191986
"398","A","i",42.4616657658579,-0.0194144441172122
"399","A","i",42.5921369020124,-0.0191814223058177
"400","A","i",42.7226080381669,-0.0189391183972491
"401","A","i",42.8530791743214,-0.0186916412353598
"402","A","i",42.9835503104758,-0.0184379771986521
"403","A","i",43.1140214466303,-0.0181756790107137
"404","A","i",43.2444925827848,-0.0179087031214789
"405","A","i",43.3749637189393,-0.0176362668334631
"406","A","i",43.5054348550937,-0.0173560641430305
"407","A","i",43.6359059912482,-0.0170717871447655
"408","A","i",43.7663771274027,-0.0167828699892959
"409","A","i",43.8968482635571,-0.0164872598322153
"410","A","i",44.0273193997116,-0.0161882720396818
"411","A","i",44.1577905358661,-0.0158855336953988
"412","A","i",44.2882616720206,-0.0155773591660894
"413","A","i",44.418732808175,-0.0152665787701767
"414","A","i",44.5492039443295,-0.0149529801637049
"415","A","i",44.679675080484,-0.014635355977419
"416","A","i",44.8101462166385,-0.0143159517306176
"417","A","i",44.9406173527929,-0.013994676706152
"418","A","i",45.0710884889474,-0.0136709045802629
"419","A","i",45.2015596251019,-0.0133462092023184
"420","A","i",45.3320307612564,-0.0130205781602425
"421","A","i",45.4625018974108,-0.0126940556218351
"422","A","i",45.5929730335653,-0.01236747363935
"423","A","i",45.7234441697198,-0.0120408528205845
"424","A","i",45.8539153058742,-0.0117149793925806
"425","A","i",45.9843864420287,-0.011389893412057
"426","A","i",46.1148575781832,-0.0110656056798136
"427","A","i",46.2453287143377,-0.0107436885509512
"428","A","i",46.3757998504921,-0.0104233680164328
"429","A","i",46.5062709866466,-0.0101046519423164
"430","A","i",46.6367421228011,-0.00978977213507327
"431","A","i",46.7672132589556,-0.00947728843579469
"432","A","i",46.89768439511,-0.00916715452828109
"433","A","i",47.0281555312645,-0.00886215195859746
"434","A","i",47.158626667419,-0.00856030334304684
"435","A","i",47.2890978035734,-0.00826147129470354
"436","A","i",47.4195689397279,-0.00796887108084884
"437","A","i",47.5500400758824,-0.00768012023205917
"438","A","i",47.6805112120369,-0.00739496008499423
"439","A","i",47.8109823481913,-0.00711692210647755
"440","A","i",47.9414534843458,-0.00684334848366058
"441","A","i",48.0719246205003,-0.00657383699383545
"442","A","i",48.2023957566548,-0.00631212074889782
"443","A","i",48.3328668928092,-0.00605538895722759
"444","A","i",48.4633380289637,-0.00580308219178608
"445","A","i",48.5938091651182,-0.00555902755160105
"446","A","i",48.7242803012727,-0.00532037212478015
"447","A","i",48.8547514374271,-0.0050863944491449
"448","A","i",48.9852225735816,-0.00486091807921819
"449","A","i",49.1156937097361,-0.00464114420830381
"450","A","i",49.2461648458905,-0.00442619298372694
"451","A","i",49.376635982045,-0.0042197994388263
"452","A","i",49.5071071181995,-0.00401929841069431
"453","A","i",49.637578254354,-0.00382366298130106
"454","A","i",49.7680493905084,-0.00363646882576043
"455","A","i",49.8985205266629,-0.0034552462914138
"456","A","i",50.0289916628174,-0.00327883923543909
"457","A","i",50.1594627989719,-0.003110608031085
"458","A","i",50.2899339351263,-0.00294832274118156
"459","A","i",50.4204050712808,-0.00279072092382651
"460","A","i",50.5508762074353,-0.00264090658513268
"461","A","i",50.6813473435897,-0.00249691692663664
"462","A","i",50.8118184797442,-0.00235740963682338
"463","A","i",50.9422896158987,-0.00222520548525165
"464","A","i",51.0727607520532,-0.00209862103312385
"465","A","i",51.2032318882076,-0.00197626241365184
"466","A","i",51.3337030243621,-0.00186065326497464
"467","A","i",51.4641741605166,-0.0017503886164394
"468","A","i",51.5946452966711,-0.00164405169334282
"469","A","i",51.7251164328255,-0.00154386646565983
"470","A","i",51.85558756898,-0.00144869483005883
"471","A","i",51.9860587051345,-0.00135712468784758
"472","A","i",52.116529841289,-0.00127108729728532
"473","A","i",52.2470009774434,-0.00118969164118571
"474","A","i",52.3774721135979,-0.00111155564363125
"475","A","i",52.5079432497524,-0.00103833232646383
"476","A","i",52.6384143859068,-0.000969352285446667
"477","A","i",52.7688855220613,-0.000903285669700833
"478","A","i",52.8993566582158,-0.000841527298177077
"479","A","i",53.0298277943703,-0.000783600525688472
"480","A","i",53.1602989305247,-0.000728246162960798
"481","A","i",53.2907700666792,-0.000676624572223774
"482","A","i",53.4212412028337,-0.000628421665623872
"483","A","i",53.5517123389882,-0.000582463248860945
"484","A","i",53.6821834751426,-0.000539701031979515
"485","A","i",53.8126546112971,-0.000499953624342802
"486","A","i",53.9431257474516,-0.000462141981715374
"487","A","i",54.0735968836061,-0.000427035612343311
"488","A","i",54.2040680197605,-0.000394557619796203
"489","A","i",54.334539155915,-0.000363730238343115
"490","A","i",54.4650102920695,-0.000335166725919177
"491","A","i",54.5954814282239,-0.000308869075929974
"492","A","i",54.7259525643784,-0.000283963236071975
"493","A","i",54.8564237005329,-0.000260930794086712
"494","A","i",54.9868948366874,-0.000239830219484706
"495","A","i",55.1173659728418,-0.000219890379654078
"496","A","i",55.2478371089963,-0.000201483787757998
"497","A","i",55.3783082451508,-0.000184706451020227
"498","A","i",55.5087793813053,-0.000168886680816415
"499","A","i",55.6392505174597,-0.00015430814720096
"500","A","i",55.7697216536142,-0.000141088962706442
"501","A","i",55.9001927897687,-0.000128651307239417
"502","A","i",56.0306639259232,-0.00011720769472516
"503","A","i",56.1611350620776,-0.000106886251188074
"504","A","i",56.2916061982321,-9.71959276083734e-05
"505","A","i",56.4220773343866,-8.82932049082679e-05
"506","A","i",56.552548470541,-8.03071673995447e-05
"507","A","i",56.6830196066955,-7.28254589994838e-05
"508","A","i",56.81349074285,-6.59611896409693e-05
"509","A","i",56.9439618790045,-5.98379936546524e-05
"510","A","i",57.0744330151589,-5.41136307513797e-05
"511","A","i",57.2049041513134,-4.88682289718169e-05
"512","A","i",57.3353752874679,-4.42157814639509e-05
"513","A","j",-19.7951057341839,0.000127511030934115
"514","A","j",-19.6276102127193,0.000137167275415982
"515","A","j",-19.4601146912548,0.000147818561356907
"516","A","j",-19.2926191697903,0.000159018725330134
"517","A","j",-19.1251236483258,0.000170883959241318
"518","A","j",-18.9576281268613,0.000183819077239677
"519","A","j",-18.7901326053968,0.000197242090127883
"520","A","j",-18.6226370839322,0.00021189259401421
"521","A","j",-18.4551415624677,0.000227350649029738
"522","A","j",-18.2876460410032,0.00024358940459625
"523","A","j",-18.1201505195387,0.000261317220094634
"524","A","j",-17.9526549980742,0.000279686428319648
"525","A","j",-17.7851594766097,0.000299536972767253
"526","A","j",-17.6176639551451,0.000320540582020747
"527","A","j",-17.4501684336806,0.000342432806342458
"528","A","j",-17.2826729122161,0.000366352351187026
"529","A","j",-17.1151773907516,0.000391098513882829
"530","A","j",-16.9476818692871,0.000417591731501578
"531","A","j",-16.7801863478226,0.000445685931423391
"532","A","j",-16.612690826358,0.000474756918640829
"533","A","j",-16.4451953048935,0.000506528254107805
"534","A","j",-16.277699783429,0.000539343575182875
"535","A","j",-16.1102042619645,0.000574170025717265
"536","A","j",-15.9427087405,0.000611160851609063
"537","A","j",-15.7752132190355,0.000649283287471562
"538","A","j",-15.607717697571,0.000690722903004736
"539","A","j",-15.4402221761064,0.000733554740301091
"540","A","j",-15.2727266546419,0.000778642838904137
"541","A","j",-15.1052311331774,0.000826582205859836
"542","A","j",-14.9377356117129,0.000875910864697802
"543","A","j",-14.7702400902484,0.000929015546151072
"544","A","j",-14.6027445687839,0.000984038352979177
"545","A","j",-14.4352490473193,0.00104152332500699
"546","A","j",-14.2677535258548,0.00110266992901832
"547","A","j",-14.1002580043903,0.0011654852401086
"548","A","j",-13.9327624829258,0.00123249854642606
"549","A","j",-13.7652669614613,0.00130205918170965
"550","A","j",-13.5977714399968,0.00137422684343021
"551","A","j",-13.4302759185322,0.00145097866923581
"552","A","j",-13.2627803970677,0.00152968972862051
"553","A","j",-13.0952848756032,0.00161295282948151
"554","A","j",-12.9277893541387,0.00169948565476858
"555","A","j",-12.7602938326742,0.00178868810523594
