"","QCno","pr.y","group","metric"
"327",12,-0.166666666666667,"Moving Range CUSUM-","Peak Assymetry"
"328",13,-0.166666666666667,"Moving Range CUSUM-","Peak Assymetry"
"329",14,-0.166666666666667,"Moving Range CUSUM-","Peak Assymetry"
"330",15,-0.166666666666667,"Moving Range CUSUM-","Peak Assymetry"
"331",16,-0.166666666666667,"Moving Range CUSUM-","Peak Assymetry"
"332",17,-0.166666666666667,"Moving Range CUSUM-","Peak Assymetry"
"333",18,-0.166666666666667,"Moving Range CUSUM-","Peak Assymetry"
"334",19,0,"Moving Range CUSUM-","Peak Assymetry"
"335",20,0,"Moving Range CUSUM-","Peak Assymetry"
"336",21,0,"Moving Range CUSUM-","Peak Assymetry"
"337",22,0,"Moving Range CUSUM-","Peak Assymetry"
"338",23,0,"Moving Range CUSUM-","Peak Assymetry"
"339",24,0,"Moving Range CUSUM-","Peak Assymetry"
"340",25,0,"Moving Range CUSUM-","Peak Assymetry"
"341",26,0,"Moving Range CUSUM-","Peak Assymetry"
"342",27,0,"Moving Range CUSUM-","Peak Assymetry"
"343",28,0,"Moving Range CUSUM-","Peak Assymetry"
"344",29,0,"Moving Range CUSUM-","Peak Assymetry"
"345",30,0,"Moving Range CUSUM-","Peak Assymetry"
"346",31,0,"Moving Range CUSUM-","Peak Assymetry"
"347",32,0,"Moving Range CUSUM-","Peak Assymetry"
"348",33,0,"Moving Range CUSUM-","Peak Assymetry"
"349",34,0,"Moving Range CUSUM-","Peak Assymetry"
"350",35,0,"Moving Range CUSUM-","Peak Assymetry"
"351",36,0,"Moving Range CUSUM-","Peak Assymetry"
"352",37,0,"Moving Range CUSUM-","Peak Assymetry"
"353",38,0,"Moving Range CUSUM-","Peak Assymetry"
"354",39,0,"Moving Range CUSUM-","Peak Assymetry"
"355",40,0,"Moving Range CUSUM-","Peak Assymetry"
"356",41,0,"Moving Range CUSUM-","Peak Assymetry"
"357",42,0,"Moving Range CUSUM-","Peak Assymetry"
"358",43,0,"Moving Range CUSUM-","Peak Assymetry"
"359",44,0,"Moving Range CUSUM-","Peak Assymetry"
"360",45,0,"Moving Range CUSUM-","Peak Assymetry"
"361",1,0,"Individual Value CUSUM+","FWHM"
"362",2,0,"Individual Value CUSUM+","FWHM"
"363",3,0,"Individual Value CUSUM+","FWHM"
"364",4,0,"Individual Value CUSUM+","FWHM"
"365",5,0,"Individual Value CUSUM+","FWHM"
"366",6,0,"Individual Value CUSUM+","FWHM"
"367",7,0,"Individual Value CUSUM+","FWHM"
"368",8,0,"Individual Value CUSUM+","FWHM"
"369",9,0,"Individual Value CUSUM+","FWHM"
"370",10,0,"Individual Value CUSUM+","FWHM"
"371",11,0,"Individual Value CUSUM+","FWHM"
"372",12,0,"Individual Value CUSUM+","FWHM"
"373",13,0,"Individual Value CUSUM+","FWHM"
"374",14,0,"Individual Value CUSUM+","FWHM"
"375",15,0,"Individual Value CUSUM+","FWHM"
"376",16,0,"Individual Value CUSUM+","FWHM"
"377",17,0,"Individual Value CUSUM+","FWHM"
"378",18,0,"Individual Value CUSUM+","FWHM"
"379",19,0,"Individual Value CUSUM+","FWHM"
"380",20,0,"Individual Value CUSUM+","FWHM"
"381",21,0,"Individual Value CUSUM+","FWHM"
"382",22,0,"Individual Value CUSUM+","FWHM"
"383",23,0,"Individual Value CUSUM+","FWHM"
"384",24,0,"Individual Value CUSUM+","FWHM"
"385",25,0,"Individual Value CUSUM+","FWHM"
